DATE,BTC_INITIAL_PRICE,BTC_FINAL_PRICE,BTC_COINS_BOUGHT,BTC_COINS_SOLD,BTC_NET_FLOW,BTC_TOTAL_AGGRT_TRANSACTIONS
2024-01-22 18:16:17,40037.42,40051.11,71.578,82.643,-443197.108,2528
2024-01-22 18:11:17,40051.11,40057.62,90.342,77.461,516331.937,2846
2024-01-22 18:06:17,40057.62,40146.01,115.857,130.144,-573261.633,4607
2024-01-22 18:01:17,40146.01,40101.34,121.153,175.777,-2191275.926,5000
2024-01-22 17:56:17,40101.34,40211.1,98.493,212.976,-4598987.614,4951
2024-01-22 17:51:17,40211.1,40307.18,135.153,81.731,2151689.93,4765
