DATE,BTC_INITIAL_PRICE,BTC_FINAL_PRICE,BTC_COINS_BOUGHT,BTC_COINS_SOLD,BTC_NET_FLOW,BTC_TOTAL_AGGRT_TRANSACTIONS
2024-01-22 17:27:12,40194.0,40147.26,140.464330000002,88.726090000001,2076665.3153185952,4682
2024-01-22 17:22:12,40147.26,40116.12,131.29672000000247,103.54568000000192,1113740.5976577108,4823
2024-01-22 17:17:12,40116.12,40021.09,136.07071000000002,113.73601000000016,894471.9362088852,4421
2024-01-22 17:12:12,40021.09,39894.95,122.88512999999965,101.08853000000023,871793.5270716096,4772
2024-01-22 17:07:12,39894.95,39882.17,137.07212999999996,114.97675000000038,882436.3630331187,4938
2024-01-22 17:02:12,39882.17,39787.99,119.68718000000014,118.43883999999987,50266.77158478927,4636
2024-01-22 16:57:12,39787.99,39772.38,152.23918000000026,118.2218700000008,1353254.8769167215,4799
2024-01-22 16:52:12,39772.38,39633.32,109.92625999999983,82.67443000000004,1080273.3363920054,5000
2024-01-22 16:47:12,39633.32,39613.15,133.81015000000016,167.8875600000002,-1347359.9923124015,5000
2024-01-22 16:42:12,39613.15,39821.11,123.55983999999987,116.72494000000067,277965.8950604955,5000
2024-01-22 16:37:12,39821.11,39829.71,140.34084,124.88979000000037,616695.2528970912,5000
2024-01-22 16:32:12,39829.71,40009.95,81.27434999999988,161.06577999999968,-3178214.045539106,5000
2024-01-22 16:27:12,40009.95,40006.02,130.39921999999993,91.70154000000004,1549634.7767179953,5000
2024-01-22 16:22:12,40006.02,40035.06,93.68375000000006,272.17683000000045,-7141619.783249887,5000
2024-01-22 16:17:12,40035.06,40423.3,95.9288300000011,137.62336000000272,-1674604.4908754188,5000
2024-01-22 16:12:12,40423.3,40411.15,103.39354000000128,91.3184200000002,486747.6184974839,5000
2024-01-22 16:07:12,40411.15,40396.3,100.32660000000091,84.67969000000123,632634.2566313883,4952
2024-01-22 16:02:12,40396.3,40346.98,56.77155999999992,61.035709999999646,-171354.19755520858,5000
2024-01-22 15:57:12,40346.98,40290.86,82.60816000000015,61.803689999999975,839912.6994364015,5000
2024-01-22 15:52:12,40290.86,40426.67,96.93561000000086,165.56817000000368,-2767636.433344808,5000
2024-01-22 15:47:12,40426.67,40596.35,67.34690000000002,138.0019800000027,-2861638.054190986,4106
2024-01-22 15:42:12,40596.35,40601.1,29.404539999999955,20.271769999999965,370777.32119250053,1886
2024-01-22 15:37:12,40601.1,40572.01,35.153309999999905,31.311489999999914,155961.67249070178,2557
2024-01-22 15:32:12,40572.01,40678.14,63.70019999999978,88.26502000000151,-997645.1047162954,4345
2024-01-22 15:27:12,40678.14,40607.36,63.209639999999744,61.90053999999979,53897.840804200154,3693
2024-01-22 15:22:12,40607.36,40673.07,71.26611000000062,85.82453000000099,-592154.6839729054,4183
2024-01-22 15:17:12,40673.07,40641.98,24.32346999999988,28.668629999999954,-176670.56164980272,2461
2024-01-22 15:12:12,40641.98,40647.77,47.84774999999954,42.78622999999985,205668.73437849456,2991
2024-01-22 15:07:12,40647.77,40687.63,45.53267999999999,55.28950999999986,-397179.64441930107,2919
2024-01-22 15:02:12,40687.63,40692.22,34.36275999999989,36.73242999999989,-96585.56794450153,2634
2024-01-22 14:57:12,40692.22,40731.38,45.09213999999998,40.11192999999974,203120.11778820003,2930
2024-01-22 14:52:12,40731.38,40742.43,41.56020999999987,37.88884999999991,149360.2848422001,3002
2024-01-22 14:47:12,40742.43,40766.94,59.64287999999988,50.09650999999977,388817.1491551951,3199
2024-01-22 14:42:12,40766.94,40710.01,54.01373999999998,33.880809999999954,820071.2708746996,2831
2024-01-22 14:37:12,40710.01,40638.39,122.64308000000169,45.649379999999844,3132083.6467368864,3318
2024-01-22 14:32:12,40638.39,40655.76,60.14375999999993,55.856409999999826,173752.63601209875,3825
2024-01-22 14:27:12,40655.76,40690.29,44.53496999999989,59.846219999999825,-622140.1613842996,2838
2024-01-22 14:22:12,40690.29,40696.31,49.29110999999983,43.587639999999794,232029.13129270053,3577
2024-01-22 14:17:12,40696.31,40659.81,67.9278800000004,50.88622000000011,693165.2204011017,5000
2024-01-22 14:12:12,40659.81,40465.99,72.2690900000009,34.68611999999986,1523890.4170084023,5000
2024-01-22 14:07:12,40465.99,40548.29,77.13037000000034,43.565249999999935,1362894.0924788988,4495
2024-01-22 14:02:12,40548.29,40545.15,86.77566000000128,124.9590400000032,-1546151.8687900025,4299
2024-01-22 13:57:12,40545.15,40652.82,49.458049999999844,62.26003999999977,-519553.4438802039,4142
2024-01-22 13:52:12,40652.82,40587.71,91.65083000000168,50.94879999999982,1651986.7924792024,4010
2024-01-22 13:47:12,40587.71,40550.0,100.11888000000107,76.15908000000034,970673.1800191044,4702
2024-01-22 13:42:12,40550.0,40456.24,62.10340999999974,40.38833999999987,879952.7809824964,3822
2024-01-22 13:37:12,40456.24,40434.66,123.72906000000232,106.92714000000146,680999.7043585954,4971
2024-01-22 13:32:12,40434.66,40546.4,57.481669999999674,38.190579999999805,780871.8261919951,4585
