DATE,BTCUSDT_START_PRICE,BTCUSDT_END_PRICE,BTCUSDT_COINS_BOUGHT,BTCUSDT_COINS_SOLD,BTCUSDT_NET_FLOW,BTCUSDT_TOTAL_AGGRT_TRANSACTIONS
2024-01-25 19:01:32,39931.52,39929.61,17.484,18.784,-51988.811,2614
2024-01-25 18:56:32,39912.2,39931.52,36.483,22.115,573638.616,2666
2024-01-25 18:51:32,39829.99,39912.2,42.1,27.108,597412.456,2424
2024-01-25 18:46:32,39860.37,39829.99,18.264,23.941,-226239.126,2188
2024-01-25 18:41:32,39861.58,39860.37,10.791,25.759,-596926.654,1735
2024-01-25 18:36:32,39899.0,39861.58,20.179,24.914,-188802.747,2337
2024-01-25 18:31:32,39871.67,39899.0,17.28,28.908,-463935.477,1954
2024-01-25 18:26:32,39855.58,39871.67,39.477,22.708,668567.989,2596
2024-01-25 18:21:32,39854.79,39855.58,73.912,35.121,1545902.539,2940
2024-01-25 18:16:32,39871.91,39854.79,43.6,28.978,582535.321,2950
2024-01-25 18:11:32,39847.68,39871.91,26.868,36.882,-399273.635,2690
2024-01-25 18:06:32,39808.4,39847.68,28.622,18.936,386233.838,3000
2024-01-25 18:01:32,39719.03,39808.4,44.423,62.158,-703898.397,3000
2024-01-25 17:56:32,39714.21,39719.03,53.038,47.646,213901.055,3000
2024-01-25 17:51:32,39762.01,39714.21,53.089,44.704,332746.686,3000
2024-01-25 17:46:32,39860.0,39762.01,36.674,59.278,-899817.62,2992
2024-01-25 17:41:32,39892.74,39860.0,29.249,32.144,-115294.487,2810
2024-01-25 17:36:32,39911.26,39892.74,25.049,39.615,-581418.697,2628
2024-01-25 17:31:32,39940.01,39911.26,55.093,45.413,386139.5,2246
2024-01-25 17:26:32,39922.07,39940.01,47.495,27.532,797168.932,1645
2024-01-25 17:21:32,39958.78,39922.07,71.77,49.193,901093.508,2492
2024-01-25 17:16:32,39959.17,39958.78,32.859,45.211,-493106.086,1961
2024-01-25 17:11:32,39951.1,39959.17,45.211,39.085,244715.422,2050
2024-01-25 17:06:32,39982.0,39951.1,38.95,44.709,-230085.592,2227
2024-01-25 17:01:32,39937.88,39982.0,42.495,27.524,598195.951,2519
2024-01-25 16:56:32,39899.99,39937.88,37.244,16.665,821425.633,1628
2024-01-25 16:51:32,39938.58,39899.99,28.773,21.79,278615.096,2125
2024-01-25 16:46:32,39966.59,39938.58,46.937,61.484,-580705.684,2522
2024-01-25 16:41:32,39927.1,39966.59,42.201,29.241,517756.14,2611
2024-01-25 16:36:32,39882.23,39927.1,52.966,22.265,1224182.776,2568
2024-01-25 16:31:32,39844.0,39882.23,55.862,16.154,1582221.843,3000
2024-01-25 16:26:32,39855.96,39844.0,26.187,15.79,414306.747,3000
2024-01-25 16:21:32,39833.99,39855.96,36.966,19.608,691565.574,2464
2024-01-25 16:16:32,39811.09,39833.99,32.777,21.065,466493.074,2666
2024-01-25 16:11:32,39764.14,39811.09,68.74,34.738,1353438.585,2609
2024-01-25 16:06:32,39842.63,39764.14,69.278,69.028,8967.345,2845
